Q6_q0_pa_,Q6_q1_pb_,Q6_q01_pab_,Q8_q2_pa_,Q8_q3_pb_,Q8_q23_pab_,Q12_q0_pa_,Q12_q3_pb_,Q12_q03_pab_,Q16_q1_pa_,Q16_q2_pb_,Q16_q12_pab_,Q10_q0_pa_,Q10_q2_pb_,Q10_q02_pab_,Q18_q1_pa_,Q18_q3_pb_,Q18_q13_pab_,Q14,Q3,Q4,Q5,survey_code,Q12_order,Q16_order,Q10_order,Q18_order,q3
0.5,0.75,0.5,0.35,0.1,0.65,0.4,0.6,0.6,0.5,0.35,0.15,0.0,0.15,0.75,0.5,0.3,0.2,1.0,2,36,3,87361764,2,1,4,3,Q16
0.3,0.9,0.5,0.7,0.5,0.7,0.2,0.65,0.75,1.0,0.75,0.9,0.6,0.55,0.3,0.8,0.1,0.6,1.0,2,43,5,67023770,3,4,2,1,Q18
0.15,0.95,0.15,0.4,0.0,0.15,0.15,0.8,0.8,1.0,0.25,0.15,0.0,0.0,0.05,0.75,0.3,0.5,1.0,1,23,4,74319924,4,2,1,3,Q10
0.3,0.95,0.3,0.6,0.03,0.7,0.03,0.9,0.9,0.9,0.6,0.5,0.15,0.75,0.1,0.9,0.05,0.95,1.0,2,30,5,10993437,3,2,1,4,Q10
0.2,1.0,0.3,0.1,0.25,0.9,0.2,0.85,0.85,0.75,0.2,0.25,0.35,0.1,0.05,0.1,0.1,0.25,1.0,2,47,3,52076041,3,4,2,1,Q18
0.5,1.0,0.7,0.3,0.5,1.0,0.8,0.8,0.8,1.0,0.6,0.7,0.15,0.3,0.15,1.0,0.8,0.7,1.0,1,64,3,81542704,3,1,4,2,Q16
0.1,1.0,0.5,0.3,0.2,0.7,0.3,0.9,0.9,0.55,0.5,0.5,0.05,0.65,0.9,0.5,0.05,0.45,1.0,1,37,5,61746991,3,2,4,1,Q18
0.1,0.7,0.3,0.0,0.0,0.3,0.0,0.6,0.6,0.6,0.2,0.3,0.6,0.4,0.2,0.6,0.1,0.3,1.0,2,47,5,41974267,1,3,2,4,Q12
0.5,0.99,0.7,0.7,0.2,0.8,0.5,0.8,0.8,0.8,0.8,0.9,0.3,0.6,0.1,0.5,0.5,0.3,1.0,1,35,5,81857781,2,4,1,3,Q10
0.0,0.5,0.2,0.05,0.5,0.1,0.1,0.2,0.2,0.2,0.2,0.15,0.1,0.25,0.3,0.25,0.2,0.25,1.0,1,66,5,33404291,2,3,4,1,Q18
-0.23,0.8,0.09,-0.5,0.24,0.29,0.06,0.45,0.33,0.47,1.0,0.88,0.79,0.69,0.62,0.58,0.04,0.14,1.0,2,41,5,41065630,2,3,4,1,Q18
0.2,1.0,0.4,0.2,0.1,0.4,0.1,0.8,0.8,1.0,0.05,0.5,0.1,0.1,0.5,0.05,0.05,0.05,1.0,2,33,3,67151342,4,2,3,1,Q18
0.0,0.9,0.7,0.2,0.15,0.7,0.1,0.8,0.8,0.9,0.5,0.7,0.5,0.6,0.05,0.7,0.1,0.15,1.0,1,35,5,14635962,2,1,3,4,Q16
0.4,0.8,0.4,0.8,0.2,0.95,0.3,0.95,0.95,0.9,0.9,0.95,0.3,0.9,0.2,0.2,0.2,0.2,1.0,1,22,5,13514574,2,4,1,3,Q10
