,qn,err_type,err_value,prob,err
0,Q10,pre,0.1,0,0
1,Q10,pre,0.0,0,0
2,Q10,pre,0.1,0,0
3,Q10,pre,0.0,0,0
4,Q10,pre,0.5,0,0
5,Q10,pre,0.0,0,0
6,Q10,pre,0.15,0,0
7,Q10,pre,0.15,0,0
8,Q10,pre,0.2,0,0
9,Q10,pre,0.1,0,0
10,Q10,pre,0.4,0,0
11,Q10,pre,0.2,0,0
12,Q10,pre,0.0,0,0
13,Q10,pre,0.34,0,0
14,Q10,pre,0.2,0,0
15,Q10,pre,0.45,0,0
16,Q10,pre,0.1,0,0
17,Q10,pre,0.38,0,0
18,Q12,pre,0.15,0,0
19,Q12,pre,0.05,0,0
20,Q12,pre,0.05,0,0
21,Q12,pre,0.1,0,0
22,Q12,pre,0.14,0,0
23,Q12,pre,0.2,0,0
24,Q12,pre,0.5,0,0
25,Q12,pre,0.1,0,0
26,Q12,pre,0.1,0,0
27,Q12,pre,0.4,0,0
28,Q12,pre,0.31,0,0
29,Q12,pre,0.05,0,0
30,Q12,pre,0.3,0,0
31,Q12,pre,0.0,0,0
32,Q12,pre,0.0,0,0
33,Q12,pre,0.1,0,0
34,Q12,pre,0.1,0,0
35,Q12,pre,0.27,0,0
36,Q12,pre,0.05,0,0
37,Q12,pre,0.0,0,0
38,Q12,pre,0.1,0,0
39,Q12,pre,0.25,0,0
40,Q12,pre,0.5,0,0
41,Q12,pre,0.15,0,0
42,Q12,pre,0.1,0,0
43,Q12,pre,0.25,0,0
44,Q12,pre,0.3,0,0
45,Q12,pre,0.1,0,0
46,Q12,pre,0.3,0,0
47,Q16,pre,0.15,0,0
48,Q16,pre,0.7,0,0
49,Q16,pre,0.0,0,0
50,Q16,pre,0.2,0,0
51,Q16,pre,0.02,0,0
52,Q16,pre,0.3,0,0
53,Q16,pre,0.0,0,0
54,Q16,pre,0.15,0,0
55,Q16,pre,0.25,0,0
56,Q16,pre,0.0,0,0
57,Q16,pre,0.0,0,0
58,Q16,pre,0.0,0,0
59,Q16,pre,0.05,0,0
60,Q16,pre,0.0,0,0
61,Q16,pre,0.0,0,0
62,Q16,pre,0.57,0,0
63,Q16,pre,0.0,0,0
64,Q16,pre,0.1,0,0
65,Q16,pre,0.0,0,0
66,Q16,pre,0.1,0,0
67,Q16,pre,0.35,0,0
68,Q16,pre,0.25,0,0
69,Q16,pre,0.5,0,0
70,Q16,pre,0.0,0,0
71,Q16,pre,0.5,0,0
72,Q16,pre,0.25,0,0
73,Q16,pre,0.0,0,0
74,Q16,pre,0.0,0,0
75,Q16,pre,0.1,0,0
76,Q16,pre,0.0,0,0
77,Q18,pre,0.08,0,0
78,Q18,pre,0.5,0,0
79,Q18,pre,0.45,0,0
80,Q18,pre,0.85,0,0
81,Q18,pre,0.9,0,0
82,Q18,pre,0.3,0,0
83,Q18,pre,0.8,0,0
84,Q18,pre,0.7,0,0
85,Q18,pre,0.15,0,0
86,Q18,pre,0.1,0,0
87,Q18,pre,0.9,0,0
88,Q18,pre,0.5,0,0
89,Q18,pre,0.25,0,0
90,Q18,pre,0.22,0,0
91,Q18,pre,0.95,0,0
92,Q18,pre,0.05,0,0
93,Q18,pre,0.0,0,0
94,Q18,pre,0.6,0,0
95,Q18,pre,0.45,0,0
96,Q18,pre,0.0,0,0
97,Q18,pre,0.0,0,0
98,Q18,pre,0.11,0,0
99,Q18,pre,0.25,0,0
100,Q18,pre,0.3,0,0
202,Q10,U,0.32495371,0,1
203,Q10,U,0.08220804,0,1
204,Q10,U,0.15322029,0,1
205,Q10,U,0.30728219,0,1
206,Q10,U,0.38196741,0,1
207,Q10,U,0.27933903,0,1
208,Q10,U,0.49416928,0,1
209,Q10,U,0.44223903,0,1
210,Q10,U,0.10444892,0,1
211,Q10,U,0.32430102,0,1
212,Q10,U,0.07888225,0,1
213,Q10,U,0.0327186,0,1
214,Q10,U,0.63661299,0,1
215,Q10,U,0.50934927,0,1
216,Q10,U,0.51068005,0,1
217,Q10,U,0.21876885,0,1
218,Q10,U,0.02236979,0,1
219,Q10,U,0.58411736,0,1
220,Q12,U,0.23051051,0,1
221,Q12,U,0.30028172,0,1
222,Q12,U,0.08874098,0,1
223,Q12,U,0.05329666,0,1
224,Q12,U,0.21417216,0,1
225,Q12,U,0.29889758,0,1
226,Q12,U,0.14446289999999998,0,1
227,Q12,U,0.59319073,0,1
228,Q12,U,0.44570823,0,1
229,Q12,U,0.09469896,0,1
230,Q12,U,0.32317758,0,1
231,Q12,U,0.17709148,0,1
232,Q12,U,0.03414154,0,1
233,Q12,U,0.67635512,0,1
234,Q12,U,0.30529935,0,1
235,Q12,U,0.27118594,0,1
236,Q12,U,0.15140150000000002,0,1
237,Q12,U,0.39073683,0,1
238,Q12,U,0.46416447,0,1
239,Q12,U,0.26080334,0,1
240,Q12,U,0.45435603,0,1
241,Q12,U,0.39856379999999997,0,1
242,Q12,U,0.34538857,0,1
243,Q12,U,0.05786855,0,1
244,Q12,U,0.63971779,0,1
245,Q12,U,0.09771002,0,1
246,Q12,U,0.66367758,0,1
247,Q12,U,0.26147317,0,1
248,Q12,U,0.21965811,0,1
249,Q16,U,0.19511814,0,1
250,Q16,U,0.01723204,0,1
