,qn,err_type,err_value,prob,err
0,Q10,pre,0.1,0,0
1,Q10,pre,0.0,0,0
2,Q10,pre,0.1,0,0
3,Q10,pre,0.0,0,0
4,Q10,pre,0.5,0,0
5,Q10,pre,0.0,0,0
6,Q10,pre,0.15,0,0
7,Q10,pre,0.15,0,0
8,Q10,pre,0.2,0,0
9,Q10,pre,0.1,0,0
10,Q10,pre,0.4,0,0
11,Q10,pre,0.2,0,0
12,Q10,pre,0.0,0,0
13,Q10,pre,0.34,0,0
14,Q10,pre,0.2,0,0
15,Q10,pre,0.45,0,0
16,Q10,pre,0.1,0,0
17,Q10,pre,0.38,0,0
202,Q10,U,0.32495371,0,1
203,Q10,U,0.08220804,0,1
204,Q10,U,0.15322029,0,1
205,Q10,U,0.30728219,0,1
206,Q10,U,0.38196741,0,1
207,Q10,U,0.27933903,0,1
208,Q10,U,0.49416928,0,1
209,Q10,U,0.44223903,0,1
210,Q10,U,0.10444892,0,1
211,Q10,U,0.32430102,0,1
212,Q10,U,0.07888225,0,1
213,Q10,U,0.0327186,0,1
214,Q10,U,0.63661299,0,1
215,Q10,U,0.50934927,0,1
216,Q10,U,0.51068005,0,1
217,Q10,U,0.21876885,0,1
218,Q10,U,0.02236979,0,1
219,Q10,U,0.58411736,0,1
404,Q10,I,0.04623503,0,2
405,Q10,I,0.0,0,2
406,Q10,I,1.1102230200000001e-16,0,2
407,Q10,I,0.00045969999999999995,0,2
408,Q10,I,0.01511451,0,2
409,Q10,I,0.02208165,0,2
410,Q10,I,0.17249878,0,2
411,Q10,I,5.551115120000001e-17,0,2
412,Q10,I,1.66533454e-16,0,2
413,Q10,I,0.07010345,0,2
414,Q10,I,5.551115120000001e-17,0,2
415,Q10,I,8.32667268e-17,0,2
416,Q10,I,0.34291024,0,2
417,Q10,I,0.29306346,0,2
418,Q10,I,0.10018004,0,2
419,Q10,I,0.10729648,0,2
420,Q10,I,4.972345360000001e-06,0,2
421,Q10,I,3.4694469500000005e-18,0,2
606,Q10,mean80,0.15,0,3
607,Q10,mean80,0.15,0,3
608,Q10,mean80,0.05,0,3
609,Q10,mean80,0.05,0,3
610,Q10,mean80,0.0,0,3
611,Q10,mean80,0.0,0,3
612,Q10,mean80,0.075,0,3
613,Q10,mean80,0.075,0,3
614,Q10,mean80,0.0,0,3
615,Q10,mean80,0.0,0,3
616,Q10,mean80,0.1,0,3
617,Q10,mean80,0.1,0,3
618,Q10,mean80,0.005,0,3
619,Q10,mean80,0.005,0,3
620,Q10,mean80,0.425,0,3
621,Q10,mean80,0.425,0,3
622,Q10,mean80,0.0,0,3
623,Q10,mean80,0.0,0,3
808,Q10,uniform,0.4,0,4
809,Q10,uniform,0.1,0,4
810,Q10,uniform,0.1,0,4
811,Q10,uniform,0.0,0,4
812,Q10,uniform,0.5,0,4
813,Q10,uniform,0.5,0,4
814,Q10,uniform,0.5,0,4
815,Q10,uniform,0.35,0,4
816,Q10,uniform,0.2,0,4
817,Q10,uniform,0.2,0,4
818,Q10,uniform,0.1,0,4
819,Q10,uniform,0.3,0,4
820,Q10,uniform,0.5,0,4
821,Q10,uniform,0.49,0,4
822,Q10,uniform,0.4,0,4
823,Q10,uniform,0.45,0,4
824,Q10,uniform,0.0,0,4
825,Q10,uniform,0.48,0,4
1010,Q10,p_ab_err_u_mlr,0.63031343,0,5
1011,Q10,p_ab_err_u_mlr,0.54544611,0,5
1012,Q10,p_ab_err_u_mlr,0.53298114,0,5
1013,Q10,p_ab_err_u_mlr,0.25321827,0,5
1014,Q10,p_ab_err_u_mlr,0.08008954,0,5
1015,Q10,p_ab_err_u_mlr,0.79283941,0,5
1016,Q10,p_ab_err_u_mlr,0.44544391,0,5
1017,Q10,p_ab_err_u_mlr,0.58279644,0,5
1018,Q10,p_ab_err_u_mlr,0.45956082,0,5
1019,Q10,p_ab_err_u_mlr,0.50770476,0,5
1020,Q10,p_ab_err_u_mlr,0.46361339,0,5
1021,Q10,p_ab_err_u_mlr,0.11015088,0,5
1022,Q10,p_ab_err_u_mlr,0.47834721,0,5
1023,Q10,p_ab_err_u_mlr,0.78506175,0,5
1024,Q10,p_ab_err_u_mlr,0.71100978,0,5
1025,Q10,p_ab_err_u_mlr,0.30269449,0,5
1026,Q10,p_ab_err_u_mlr,0.69325462,0,5
1027,Q10,p_ab_err_u_mlr,0.6861454,0,5
1111,Q10,p_ab_err_i,0.71445981,0,6
1112,Q10,p_ab_err_i,0.34746459999999996,0,6
1113,Q10,p_ab_err_i,0.04452579,0,6
1114,Q10,p_ab_err_i,0.47043162,0,6
1115,Q10,p_ab_err_i,0.45423493,0,6
1116,Q10,p_ab_err_i,0.44240453,0,6
1117,Q10,p_ab_err_i,0.44746492,0,6
1118,Q10,p_ab_err_i,0.75875228,0,6
1119,Q10,p_ab_err_i,0.68230974,0,6
1120,Q10,p_ab_err_i,0.52504469,0,6
1121,Q10,p_ab_err_i,0.12773701,0,6
1122,Q10,p_ab_err_i,0.08936128,0,6
1123,Q10,p_ab_err_i,0.88216396,0,6
1124,Q10,p_ab_err_i,0.73752845,0,6
1125,Q10,p_ab_err_i,0.81871218,0,6
1126,Q10,p_ab_err_i,0.44975353,0,6
