,qn,err_type,err_value,prob,err
47,Q16,pre,0.15,0,0
48,Q16,pre,0.7,0,0
49,Q16,pre,0.0,0,0
50,Q16,pre,0.2,0,0
51,Q16,pre,0.02,0,0
52,Q16,pre,0.3,0,0
53,Q16,pre,0.0,0,0
54,Q16,pre,0.15,0,0
55,Q16,pre,0.25,0,0
56,Q16,pre,0.0,0,0
57,Q16,pre,0.0,0,0
58,Q16,pre,0.0,0,0
59,Q16,pre,0.05,0,0
60,Q16,pre,0.0,0,0
61,Q16,pre,0.0,0,0
62,Q16,pre,0.57,0,0
63,Q16,pre,0.0,0,0
64,Q16,pre,0.1,0,0
65,Q16,pre,0.0,0,0
66,Q16,pre,0.1,0,0
67,Q16,pre,0.35,0,0
68,Q16,pre,0.25,0,0
69,Q16,pre,0.5,0,0
70,Q16,pre,0.0,0,0
71,Q16,pre,0.5,0,0
72,Q16,pre,0.25,0,0
73,Q16,pre,0.0,0,0
74,Q16,pre,0.0,0,0
75,Q16,pre,0.1,0,0
76,Q16,pre,0.0,0,0
249,Q16,U,0.19511814,0,1
250,Q16,U,0.01723204,0,1
251,Q16,U,0.56037192,0,1
252,Q16,U,0.14801620000000001,0,1
253,Q16,U,0.29478521,0,1
254,Q16,U,0.20579858,0,1
255,Q16,U,0.19881077,0,1
256,Q16,U,0.28251565,0,1
257,Q16,U,0.09961706,0,1
258,Q16,U,0.41916034,0,1
259,Q16,U,0.40516122,0,1
260,Q16,U,0.61793218,0,1
261,Q16,U,0.37228559,0,1
262,Q16,U,0.29296809999999995,0,1
263,Q16,U,0.57434341,0,1
264,Q16,U,0.07500932,0,1
265,Q16,U,0.34450198,0,1
266,Q16,U,0.05252626,0,1
267,Q16,U,0.52406746,0,1
268,Q16,U,0.16825191,0,1
269,Q16,U,0.04535803,0,1
270,Q16,U,0.02949096,0,1
271,Q16,U,0.23872371,0,1
272,Q16,U,0.57951913,0,1
273,Q16,U,0.14317842,0,1
274,Q16,U,0.12565318,0,1
275,Q16,U,0.62391661,0,1
276,Q16,U,0.43760029,0,1
277,Q16,U,0.02985171,0,1
278,Q16,U,0.26874002,0,1
451,Q16,I,3.774758279999999e-15,0,2
452,Q16,I,5.551115120000001e-17,0,2
453,Q16,I,0.13967663,0,2
454,Q16,I,0.05053846,0,2
455,Q16,I,5.551115120000001e-17,0,2
456,Q16,I,0.0,0,2
457,Q16,I,0.05509091,0,2
458,Q16,I,0.20113792,0,2
459,Q16,I,0.00670816,0,2
460,Q16,I,0.02786122,0,2
461,Q16,I,0.08479519,0,2
462,Q16,I,0.21093611,0,2
463,Q16,I,0.0,0,2
464,Q16,I,0.06278308,0,2
465,Q16,I,0.02949309,0,2
466,Q16,I,0.0,0,2
467,Q16,I,0.19337055,0,2
468,Q16,I,5.551115120000001e-17,0,2
469,Q16,I,3.33066907e-16,0,2
470,Q16,I,0.00434766,0,2
471,Q16,I,1.1102230200000001e-16,0,2
472,Q16,I,0.11565819,0,2
473,Q16,I,0.0,0,2
474,Q16,I,0.04221515,0,2
475,Q16,I,5.551115120000001e-17,0,2
476,Q16,I,0.00305011,0,2
477,Q16,I,3.33066907e-16,0,2
478,Q16,I,0.05795377,0,2
479,Q16,I,1.66533454e-16,0,2
480,Q16,I,0.15265597,0,2
653,Q16,mean80,0.21666667,0,3
654,Q16,mean80,0.43333333,0,3
655,Q16,mean80,0.21666667,0,3
656,Q16,mean80,0.23333333,0,3
657,Q16,mean80,0.26666667,0,3
658,Q16,mean80,0.03333333,0,3
659,Q16,mean80,0.25,0,3
660,Q16,mean80,0.0,0,3
661,Q16,mean80,0.25,0,3
662,Q16,mean80,0.03333333,0,3
663,Q16,mean80,0.06666667,0,3
664,Q16,mean80,0.03333333,0,3
665,Q16,mean80,0.06666667,0,3
666,Q16,mean80,0.03333333,0,3
667,Q16,mean80,0.03333333,0,3
668,Q16,mean80,0.26666667,0,3
669,Q16,mean80,0.13333333,0,3
670,Q16,mean80,0.13333333,0,3
671,Q16,mean80,0.2,0,3
672,Q16,mean80,0.1,0,3
673,Q16,mean80,0.1,0,3
674,Q16,mean80,0.08333333,0,3
675,Q16,mean80,0.08333333,0,3
676,Q16,mean80,0.16666667,0,3
677,Q16,mean80,0.11666667,0,3
678,Q16,mean80,0.06666667,0,3
679,Q16,mean80,0.18333333,0,3
680,Q16,mean80,0.16666667,0,3
681,Q16,mean80,0.33333333,0,3
682,Q16,mean80,0.16666667,0,3
855,Q16,uniform,0.45,0,4
856,Q16,uniform,0.2,0,4
857,Q16,uniform,0.45,0,4
858,Q16,uniform,0.3,0,4
859,Q16,uniform,0.2,0,4
860,Q16,uniform,0.1,0,4
861,Q16,uniform,0.5,0,4
862,Q16,uniform,0.25,0,4
863,Q16,uniform,0.0,0,4
864,Q16,uniform,0.5,0,4
865,Q16,uniform,0.4,0,4
866,Q16,uniform,0.5,0,4
867,Q16,uniform,0.4,0,4
868,Q16,uniform,0.5,0,4
869,Q16,uniform,0.5,0,4
870,Q16,uniform,0.1,0,4
871,Q16,uniform,0.3,0,4
872,Q16,uniform,0.3,0,4
873,Q16,uniform,0.3,0,4
874,Q16,uniform,0.0,0,4
875,Q16,uniform,0.0,0,4
876,Q16,uniform,0.25,0,4
877,Q16,uniform,0.25,0,4
878,Q16,uniform,0.5,0,4
879,Q16,uniform,0.0,0,4
880,Q16,uniform,0.05,0,4
881,Q16,uniform,0.3,0,4
882,Q16,uniform,0.5,0,4
883,Q16,uniform,0.0,0,4
884,Q16,uniform,0.5,0,4
1057,Q16,p_ab_err_u_mlr,0.20351607,0,5
1058,Q16,p_ab_err_u_mlr,0.05779017,0,5
1059,Q16,p_ab_err_u_mlr,0.85799168,0,5
1060,Q16,p_ab_err_u_mlr,0.56554901,0,5
1061,Q16,p_ab_err_u_mlr,0.03103512,0,5
1062,Q16,p_ab_err_u_mlr,0.3809037,0,5
1063,Q16,p_ab_err_u_mlr,0.05668192,0,5
1064,Q16,p_ab_err_u_mlr,0.15056358,0,5
1065,Q16,p_ab_err_u_mlr,0.00727915,0,5
1066,Q16,p_ab_err_u_mlr,0.52000372,0,5
1067,Q16,p_ab_err_u_mlr,0.5576715999999999,0,5
1068,Q16,p_ab_err_u_mlr,0.31330739,0,5
1069,Q16,p_ab_err_u_mlr,0.37206719,0,5
1070,Q16,p_ab_err_u_mlr,0.54527608,0,5
1071,Q16,p_ab_err_u_mlr,0.76097103,0,5
1072,Q16,p_ab_err_u_mlr,0.10549557,0,5
1073,Q16,p_ab_err_u_mlr,0.20054160000000001,0,5
1074,Q16,p_ab_err_u_mlr,0.10179083,0,5
1075,Q16,p_ab_err_u_mlr,0.32139063,0,5
1076,Q16,p_ab_err_u_mlr,0.19029556,0,5
1077,Q16,p_ab_err_u_mlr,0.03883808,0,5
1078,Q16,p_ab_err_u_mlr,0.26019706,0,5
1079,Q16,p_ab_err_u_mlr,0.36443359,0,5
1080,Q16,p_ab_err_u_mlr,0.18590512,0,5
1081,Q16,p_ab_err_u_mlr,0.26774198,0,5
1082,Q16,p_ab_err_u_mlr,0.09313486,0,5
1083,Q16,p_ab_err_u_mlr,0.31469142,0,5
1084,Q16,p_ab_err_u_mlr,0.45971568,0,5
1085,Q16,p_ab_err_u_mlr,0.31402975,0,5
1086,Q16,p_ab_err_u_mlr,0.15612669,0,5
1158,Q16,p_ab_err_i,0.58207371,0,6
1159,Q16,p_ab_err_i,0.10119295,0,6
1160,Q16,p_ab_err_i,0.69502245,0,6
1161,Q16,p_ab_err_i,0.1087442,0,6
1162,Q16,p_ab_err_i,0.11303235,0,6
1163,Q16,p_ab_err_i,0.47285996,0,6
1164,Q16,p_ab_err_i,0.1379483,0,6
1165,Q16,p_ab_err_i,0.2708624,0,6
