,qn,err_type,err_value,prob,err
77,Q18,pre,0.08,0,0
78,Q18,pre,0.5,0,0
79,Q18,pre,0.45,0,0
80,Q18,pre,0.85,0,0
81,Q18,pre,0.9,0,0
82,Q18,pre,0.3,0,0
83,Q18,pre,0.8,0,0
84,Q18,pre,0.7,0,0
85,Q18,pre,0.15,0,0
86,Q18,pre,0.1,0,0
87,Q18,pre,0.9,0,0
88,Q18,pre,0.5,0,0
89,Q18,pre,0.25,0,0
90,Q18,pre,0.22,0,0
91,Q18,pre,0.95,0,0
92,Q18,pre,0.05,0,0
93,Q18,pre,0.0,0,0
94,Q18,pre,0.6,0,0
95,Q18,pre,0.45,0,0
96,Q18,pre,0.0,0,0
97,Q18,pre,0.0,0,0
98,Q18,pre,0.11,0,0
99,Q18,pre,0.25,0,0
100,Q18,pre,0.3,0,0
279,Q18,U,0.50240955,0,1
280,Q18,U,0.09812436,0,1
281,Q18,U,0.17368495,0,1
282,Q18,U,0.13336909,0,1
283,Q18,U,0.3003696,0,1
284,Q18,U,0.03145553,0,1
285,Q18,U,0.6151689,0,1
286,Q18,U,0.55925053,0,1
287,Q18,U,0.35088903,0,1
288,Q18,U,0.16748463,0,1
289,Q18,U,0.66417692,0,1
290,Q18,U,0.0042268,0,1
291,Q18,U,0.12127524,0,1
292,Q18,U,0.13513674,0,1
293,Q18,U,0.51787808,0,1
294,Q18,U,0.043847000000000004,0,1
295,Q18,U,0.31346551,0,1
296,Q18,U,0.21701237,0,1
297,Q18,U,0.67442227,0,1
298,Q18,U,0.12635839,0,1
299,Q18,U,0.7728374,0,1
300,Q18,U,0.12019121,0,1
301,Q18,U,0.04241093,0,1
302,Q18,U,0.041916699999999994,0,1
481,Q18,I,0.21483899,0,2
482,Q18,I,7.00985947e-05,0,2
483,Q18,I,3.33066907e-16,0,2
484,Q18,I,0.0,0,2
485,Q18,I,0.00186245,0,2
486,Q18,I,0.006186199999999999,0,2
487,Q18,I,0.01511451,0,2
488,Q18,I,1.1102230200000001e-16,0,2
489,Q18,I,1.1102230200000001e-16,0,2
490,Q18,I,1.1102230200000001e-16,0,2
491,Q18,I,2.7755575600000004e-17,0,2
492,Q18,I,0.00046066,0,2
493,Q18,I,9.43689571e-16,0,2
494,Q18,I,2.1871393599999998e-14,0,2
495,Q18,I,0.20256426,0,2
496,Q18,I,0.0,0,2
497,Q18,I,0.0,0,2
498,Q18,I,2.30113151e-12,0,2
499,Q18,I,6.938893900000001e-18,0,2
500,Q18,I,1.11022302e-15,0,2
501,Q18,I,0.2485603,0,2
502,Q18,I,2.22044605e-16,0,2
503,Q18,I,3.99069666e-12,0,2
504,Q18,I,0.0,0,2
683,Q18,mean80,0.17333333,0,3
684,Q18,mean80,0.13666667,0,3
685,Q18,mean80,0.03666667,0,3
686,Q18,mean80,0.13333333,0,3
687,Q18,mean80,0.13333333,0,3
688,Q18,mean80,0.26666667,0,3
689,Q18,mean80,0.28333333,0,3
690,Q18,mean80,0.18333333,0,3
691,Q18,mean80,0.46666667,0,3
692,Q18,mean80,0.33333333,0,3
693,Q18,mean80,0.36666667,0,3
694,Q18,mean80,0.03333333,0,3
695,Q18,mean80,0.165,0,3
696,Q18,mean80,0.165,0,3
697,Q18,mean80,0.275,0,3
698,Q18,mean80,0.275,0,3
699,Q18,mean80,0.25,0,3
700,Q18,mean80,0.25,0,3
701,Q18,mean80,0.225,0,3
702,Q18,mean80,0.225,0,3
703,Q18,mean80,0.33,0,3
704,Q18,mean80,0.33,0,3
705,Q18,mean80,0.05,0,3
706,Q18,mean80,0.05,0,3
885,Q18,uniform,0.31,0,4
886,Q18,uniform,0.0,0,4
887,Q18,uniform,0.1,0,4
888,Q18,uniform,0.4,0,4
889,Q18,uniform,0.4,0,4
890,Q18,uniform,0.0,0,4
891,Q18,uniform,0.5,0,4
892,Q18,uniform,0.4,0,4
893,Q18,uniform,0.25,0,4
894,Q18,uniform,0.3,0,4
895,Q18,uniform,0.4,0,4
896,Q18,uniform,0.0,0,4
897,Q18,uniform,0.25,0,4
898,Q18,uniform,0.08,0,4
899,Q18,uniform,0.45,0,4
900,Q18,uniform,0.1,0,4
901,Q18,uniform,0.2,0,4
902,Q18,uniform,0.3,0,4
903,Q18,uniform,0.45,0,4
904,Q18,uniform,0.0,0,4
905,Q18,uniform,0.49,0,4
906,Q18,uniform,0.17,0,4
907,Q18,uniform,0.0,0,4
908,Q18,uniform,0.1,0,4
1087,Q18,p_ab_err_u_mlr,0.161209,0,5
1088,Q18,p_ab_err_u_mlr,0.5087497000000001,0,5
1089,Q18,p_ab_err_u_mlr,0.14321274,0,5
1090,Q18,p_ab_err_u_mlr,0.36474362,0,5
1091,Q18,p_ab_err_u_mlr,0.48018343,0,5
1092,Q18,p_ab_err_u_mlr,0.04270965,0,5
1093,Q18,p_ab_err_u_mlr,0.70304101,0,5
1094,Q18,p_ab_err_u_mlr,0.48730304,0,5
1095,Q18,p_ab_err_u_mlr,0.10409198,0,5
1096,Q18,p_ab_err_u_mlr,0.02322282,0,5
1097,Q18,p_ab_err_u_mlr,0.22374943,0,5
1098,Q18,p_ab_err_u_mlr,0.17866722,0,5
1099,Q18,p_ab_err_u_mlr,0.54711366,0,5
1100,Q18,p_ab_err_u_mlr,0.63255125,0,5
1101,Q18,p_ab_err_u_mlr,0.63110227,0,5
1102,Q18,p_ab_err_u_mlr,0.01443966,0,5
1103,Q18,p_ab_err_u_mlr,0.06000066,0,5
1104,Q18,p_ab_err_u_mlr,0.5687153,0,5
1105,Q18,p_ab_err_u_mlr,0.33128965,0,5
1106,Q18,p_ab_err_u_mlr,0.27990462,0,5
1107,Q18,p_ab_err_u_mlr,0.66101974,0,5
1108,Q18,p_ab_err_u_mlr,0.42908684,0,5
1109,Q18,p_ab_err_u_mlr,0.84170032,0,5
1110,Q18,p_ab_err_u_mlr,0.48338302,0,5
1188,Q18,p_ab_err_i,0.58999456,0,6
1189,Q18,p_ab_err_i,0.50222074,0,6
1190,Q18,p_ab_err_i,0.13099349,0,6
1191,Q18,p_ab_err_i,0.47178108,0,6
1192,Q18,p_ab_err_i,0.5447566,0,6
1193,Q18,p_ab_err_i,0.57287005,0,6
1194,Q18,p_ab_err_i,0.60676855,0,6
1195,Q18,p_ab_err_i,0.65078922,0,6
1196,Q18,p_ab_err_i,0.15416971,0,6
1197,Q18,p_ab_err_i,0.04870001,0,6
1198,Q18,p_ab_err_i,0.54189061,0,6
1199,Q18,p_ab_err_i,0.1025012,0,6
1200,Q18,p_ab_err_i,0.18473914,0,6
1201,Q18,p_ab_err_i,0.61198763,0,6
1202,Q18,p_ab_err_i,0.64775279,0,6
1203,Q18,p_ab_err_i,0.06403301,0,6
1204,Q18,p_ab_err_i,0.27714699,0,6
1205,Q18,p_ab_err_i,0.69278127,0,6
1206,Q18,p_ab_err_i,0.70778775,0,6
1207,Q18,p_ab_err_i,0.28167967,0,6
1208,Q18,p_ab_err_i,0.67839034,0,6
1209,Q18,p_ab_err_i,0.83800653,0,6
1210,Q18,p_ab_err_i,0.7401622,0,6
1211,Q18,p_ab_err_i,0.34512695,0,6
1289,Q18,p_ab_err_real_m80,0.02333333,0,7
1290,Q18,p_ab_err_real_m80,0.05333333,0,7
1291,Q18,p_ab_err_real_m80,0.39666667,0,7
1292,Q18,p_ab_err_real_m80,0.1,0,7
1293,Q18,p_ab_err_real_m80,0.2,0,7
