,qn,err_type,err_value,prob,err
18,Q12,pre,0.15,0,0
19,Q12,pre,0.05,0,0
20,Q12,pre,0.05,0,0
21,Q12,pre,0.1,0,0
22,Q12,pre,0.14,0,0
23,Q12,pre,0.2,0,0
24,Q12,pre,0.5,0,0
25,Q12,pre,0.1,0,0
26,Q12,pre,0.1,0,0
27,Q12,pre,0.4,0,0
28,Q12,pre,0.31,0,0
29,Q12,pre,0.05,0,0
30,Q12,pre,0.3,0,0
31,Q12,pre,0.0,0,0
32,Q12,pre,0.0,0,0
33,Q12,pre,0.1,0,0
34,Q12,pre,0.1,0,0
35,Q12,pre,0.27,0,0
36,Q12,pre,0.05,0,0
37,Q12,pre,0.0,0,0
38,Q12,pre,0.1,0,0
39,Q12,pre,0.25,0,0
40,Q12,pre,0.5,0,0
41,Q12,pre,0.15,0,0
42,Q12,pre,0.1,0,0
43,Q12,pre,0.25,0,0
44,Q12,pre,0.3,0,0
45,Q12,pre,0.1,0,0
46,Q12,pre,0.3,0,0
220,Q12,U,0.23051051,0,1
221,Q12,U,0.30028172,0,1
222,Q12,U,0.08874098,0,1
223,Q12,U,0.05329666,0,1
224,Q12,U,0.21417216,0,1
225,Q12,U,0.29889758,0,1
226,Q12,U,0.14446289999999998,0,1
227,Q12,U,0.59319073,0,1
228,Q12,U,0.44570823,0,1
229,Q12,U,0.09469896,0,1
230,Q12,U,0.32317758,0,1
231,Q12,U,0.17709148,0,1
232,Q12,U,0.03414154,0,1
233,Q12,U,0.67635512,0,1
234,Q12,U,0.30529935,0,1
235,Q12,U,0.27118594,0,1
236,Q12,U,0.15140150000000002,0,1
237,Q12,U,0.39073683,0,1
238,Q12,U,0.46416447,0,1
239,Q12,U,0.26080334,0,1
240,Q12,U,0.45435603,0,1
241,Q12,U,0.39856379999999997,0,1
242,Q12,U,0.34538857,0,1
243,Q12,U,0.05786855,0,1
244,Q12,U,0.63971779,0,1
245,Q12,U,0.09771002,0,1
246,Q12,U,0.66367758,0,1
247,Q12,U,0.26147317,0,1
248,Q12,U,0.21965811,0,1
422,Q12,I,0.0,0,2
423,Q12,I,0.09407163,0,2
424,Q12,I,1.1102230200000001e-16,0,2
425,Q12,I,5.551115120000001e-17,0,2
426,Q12,I,0.01481611,0,2
427,Q12,I,8.32667268e-17,0,2
428,Q12,I,0.29344774,0,2
429,Q12,I,0.45214057,0,2
430,Q12,I,2.08166817e-17,0,2
431,Q12,I,0.0,0,2
432,Q12,I,0.0,0,2
433,Q12,I,4.3298698e-15,0,2
434,Q12,I,5.551115120000001e-17,0,2
435,Q12,I,0.30681187,0,2
436,Q12,I,1.39888101e-14,0,2
437,Q12,I,0.17005251,0,2
438,Q12,I,0.04430715,0,2
439,Q12,I,0.0,0,2
440,Q12,I,0.10470621,0,2
441,Q12,I,1.3877787800000002e-17,0,2
442,Q12,I,0.20098713,0,2
443,Q12,I,1.1102230200000001e-16,0,2
